Author,Institution
Lichao Sun,Lehigh University
Yue Huang,Lehigh University
Haoran Wang,Illinois Institute of Technology
Siyuan Wu,Lehigh University
Qihui Zhang,Lehigh University
Chujie Gao,Lehigh University
Yixin Huang,Institut Polytechnique de Paris
Wenhan Lyu,William & Mary
Yixuan Zhang,William & Mary
Xiner Li,Texas A&M University
Zhengliang Liu,University of Georgia
Yixin Liu,Lehigh University
Yijue Wang,Samsung Research America
Zhikun Zhang,Stanford University
Bhavya Kailkhura,Lawrence Livermore National Laboratory
Caiming Xiong,Salesforce Research
Chao Zhang,Georgia Institute of Technology
Chaowei Xiao,"University of Wisconsin, Madison"
Chunyuan Li,Microsoft Research
Eric Xing,Carnegie Mellon University
Furong Huang,University of Maryland
Hao Liu,"University of California, Berkeley"
Heng Ji,University of Illinois Urbana-Champaign
Hongyi Wang,Carnegie Mellon University
Huan Zhang,University of Illinois Urbana-Champaign
Huaxiu Yao,UNC Chapel Hill
Manolis Kellis,Massachusetts Institute of Technology
Marinka Zitnik,Harvard University
Meng Jiang,University of Notre Dame
Mohit Bansal,UNC Chapel Hill
James Zou,Stanford University
Jian Pei,Duke University
Jian Liu,"University of Tennessee, Knoxville"
Jianfeng Gao,Microsoft Research
Jiawei Han,University of Illinois Urbana-Champaign
Jieyu Zhao,University of Southern California
Jiliang Tang,Michigan State University
Jindong Wang,Microsoft Research Asia
John Mitchell,Stanford University
Kai Shu,Illinois Institute of Technology
Kaidi Xu,Drexel University
Kai-Wei Chang,"University of California, Los Angeles"
Lifang He,Lehigh University
Lifu Huang,Virginia Tech
Michael Backes,CISPA
Neil Zhenqiang Gong,Duke University
Philip S. Yu,University of Illinois Chicago
Pin-Yu Chen,IBM Research AI
Quanquan Gu,"University of California, Los Angeles"
Ran Xu,Salesforce Research
Rex Ying,Yale University
Shuiwang Ji,Texas A&M University
Tianlong Chen,UNC Chapel Hill
Tianming Liu,University of Georgia
Tianyi Zhou,University of Maryland
Willian Wang,"University of California, Santa Barbara"
Xiang Li,Massachusetts General Hospital
Xiangliang Zhang,University of Notre Dame
Xiao Wang,Northwestern University
Xing Xie,Microsoft Research Asia
Xun Chen,Samsung Research America
Xuyu Wang,Florida International University
Yan Liu,University of Southern California
Yanfang Ye,University of Notre Dame
Yinzhi Cao,Johns Hopkins University
Yue Zhao,University of Southern California
