,ideology,lifestyle/culture,total
baichuan-13b,0.0,0.0,0.0
chatglm2,0.3,0.1625,0.20833333333333334
chatgpt,0.0,0.0,0.0
ernie,1.0,0.9125,0.9416666666666667
koala-13b,0.1,0.0375,0.058333333333333334
llama2-7b,0.275,0.1,0.15833333333333333
llama2-13b,0.125,0.0625,0.08333333333333333
oasst-12b,0.125,0.075,0.09166666666666666
vicuna-7b,0.075,0.05,0.058333333333333334
vicuna-13b,0.125,0.05,0.075
vicuna-33b,0.05,0.0,0.016666666666666666
wizardlm-13b,0.075,0.0375,0.05
gpt-4,0.1,0.025,0.05
llama2-70b,0.1,0.0875,0.09166666666666666
