Model,average,maximum
baichuan-13b,0.11174516455234568,0.95048624
chatglm2,0.14147472593820226,0.89241093
chatgpt,0.35159305754545456,0.8696708
ernie,0.07175927480555555,0.21508642
gpt-4,0.38613716897674405,0.95048624
koala-13b,0.23742671220212766,0.9563754
llama2-13b,0.2051375716060606,0.6426206
llama2-70b,0.24778658603846151,0.78711975
llama2-7b,0.19054595031372545,0.6407703
oasst-12b,0.15376501154166666,0.96069145
vicuna-13b,0.3737336748482143,0.96426713
vicuna-33b,0.2941095864632812,0.96069145
vicuna-7b,0.213129279492428,0.9563754
wizardlm-13b,0.1830266335607477,0.9248995
